Name,SYMBOL,NAME OF COMPANY, SERIES
EKC.NS,EKC,Everest Kanto Cylinder Limited,EQ
ELECON.NS,ELECON,Elecon Engineering Company Limited,EQ
ELECTCAST.NS,ELECTCAST,Electrosteel Castings Limited,EQ
ELECTHERM.NS,ELECTHERM,Electrotherm (India) Limited,EQ
ELGIEQUIP.NS,ELGIEQUIP,Elgi Equipments Limited,EQ
ELGIRUBCO.NS,ELGIRUBCO,Elgi Rubber Company Limited,EQ
EMAMILTD.NS,EMAMILTD,Emami Limited,EQ
EMAMIPAP.NS,EMAMIPAP,Emami Paper Mills Limited,EQ
EMAMIREAL.NS,EMAMIREAL,Emami Realty Limited,EQ
EMCO.NS,EMCO,Emco Limited,BZ
EMKAY.NS,EMKAY,Emkay Global Financial Services Limited,EQ
EMMBI.NS,EMMBI,Emmbi Industries Limited,EQ
ENDURANCE.NS,ENDURANCE,Endurance Technologies Limited,EQ
ENERGYDEV.NS,ENERGYDEV,Energy Development Company Limited,BE
ENGINERSIN.NS,ENGINERSIN,Engineers India Limited,EQ
ENIL.NS,ENIL,Entertainment Network (India) Limited,EQ
EON.NS,EON,Eon Electric Limited,BZ
EQUITAS.NS,EQUITAS,Equitas Holdings Limited,EQ
ERIS.NS,ERIS,Eris Lifesciences Limited,EQ
EROSMEDIA.NS,EROSMEDIA,Eros International Media Limited,EQ
ESABINDIA.NS,ESABINDIA,Esab India Limited,EQ
ESCORTS.NS,ESCORTS,Escorts Limited,EQ
ESSARSHPNG.NS,ESSARSHPNG,Essar Shipping Limited,BE
ESSELPACK.NS,ESSELPACK,Essel Propack Limited,EQ
ESTER.NS,ESTER,Ester Industries Limited,EQ
EUROCERA.NS,EUROCERA,Euro Ceramics Limited,BZ
EUROMULTI.NS,EUROMULTI,Euro Multivision Limited,BE
EUROTEXIND.NS,EUROTEXIND,Eurotex Industries and Exports Limited,EQ
EVEREADY.NS,EVEREADY,Eveready Industries India Limited,BE
EVERESTIND.NS,EVERESTIND,Everest Industries Limited,EQ
EXCEL.NS,EXCEL,Excel Realty N Infra Limited,EQ
EXCELINDUS.NS,EXCELINDUS,Excel Industries Limited,EQ
EXIDEIND.NS,EXIDEIND,Exide Industries Limited,EQ
EXPLEOSOL.NS,EXPLEOSOL,Expleo Solutions Limited,EQ
FACT.NS,FACT,Fertilizers and Chemicals Travancore Limited,EQ
FAIRCHEM.NS,FAIRCHEM,Fairchem Speciality Limited,EQ
FCL.NS,FCL,Fineotex Chemical Limited,EQ
FCONSUMER.NS,FCONSUMER,Future Consumer Limited,EQ
FCSSOFT.NS,FCSSOFT,FCS Software Solutions Limited,EQ
FDC.NS,FDC,FDC Limited,EQ
FEDERALBNK.NS,FEDERALBNK,The Federal Bank  Limited,EQ
FEL.NS,FEL,Future Enterprises Limited,EQ
FELDVR.NS,FELDVR,Future Enterprises Limited,EQ
FIEMIND.NS,FIEMIND,Fiem Industries Limited,EQ
FILATEX.NS,FILATEX,Filatex India Limited,EQ
FINCABLES.NS,FINCABLES,Finolex Cables Limited,EQ
FINEORG.NS,FINEORG,Fine Organic Industries Limited,EQ
FINPIPE.NS,FINPIPE,Finolex Industries Limited,EQ
FLEXITUFF.NS,FLEXITUFF,Flexituff Ventures International Limited,BE
FLFL.NS,FLFL,Future Lifestyle Fashions Limited,EQ
FLUOROCHEM.NS,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ
FMGOETZE.NS,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ
FMNL.NS,FMNL,Future Market Networks Limited,EQ
FORCEMOT.NS,FORCEMOT,FORCE MOTORS LTD,EQ
FORTIS.NS,FORTIS,Fortis Healthcare Limited,EQ
FOSECOIND.NS,FOSECOIND,Foseco India Limited,EQ
FRETAIL.NS,FRETAIL,Future Retail Limited,EQ
FSC.NS,FSC,Future Supply Chain Solutions Limited,EQ
FSL.NS,FSL,Firstsource Solutions Limited,EQ
GABRIEL.NS,GABRIEL,Gabriel India Limited,EQ
GAEL.NS,GAEL,Gujarat Ambuja Exports Limited,EQ
GAIL.NS,GAIL,GAIL (India) Limited,EQ
GAL.NS,GAL,Gyscoal Alloys Limited,EQ
GALAXYSURF.NS,GALAXYSURF,Galaxy Surfactants Limited,EQ
GALLANTT.NS,GALLANTT,Gallantt Metal Limited,EQ
GALLISPAT.NS,GALLISPAT,Gallantt Ispat Limited,EQ
GAMMNINFRA.NS,GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ
GANDHITUBE.NS,GANDHITUBE,Gandhi Special Tubes Limited,EQ
GANECOS.NS,GANECOS,Ganesha Ecosphere Limited,EQ
GANESHHOUC.NS,GANESHHOUC,Ganesh Housing Corporation Limited,EQ
GANGESSECU.NS,GANGESSECU,Ganges Securities Limited,EQ
GARDENSILK.NS,GARDENSILK,Garden Silk Mills Limited,EQ
GARFIBRES.NS,GARFIBRES,Garware Technical Fibres Limited,EQ
GATI.NS,GATI,GATI Limited,EQ
GAYAHWS.NS,GAYAHWS,Gayatri Highways Limited,BE
GAYAPROJ.NS,GAYAPROJ,Gayatri Projects Limited,BE
GBGLOBAL.NS,GBGLOBAL,GB Global Limited,BE
GDL.NS,GDL,Gateway Distriparks Limited,EQ
GEECEE.NS,GEECEE,GeeCee Ventures Limited,EQ
GEEKAYWIRE.NS,GEEKAYWIRE,Geekay Wires Limited,EQ
GENESYS.NS,GENESYS,Genesys International Corporation Limited,EQ
GENUSPAPER.NS,GENUSPAPER,Genus Paper & Boards Limited,EQ
GENUSPOWER.NS,GENUSPOWER,Genus Power Infrastructures Limited,EQ
GEOJITFSL.NS,GEOJITFSL,Geojit Financial Services Limited,EQ
GEPIL.NS,GEPIL,GE Power India Limited,EQ
GESHIP.NS,GESHIP,The Great Eastern Shipping Company Limited,EQ
GET&D.NS,GET&D,GE T&D India Limited,EQ
GFLLIMITED.NS,GFLLIMITED,GFL Limited,EQ
GFSTEELS.NS,GFSTEELS,Grand Foundry Limited,BE
GHCL.NS,GHCL,GHCL Limited,EQ
GICHSGFIN.NS,GICHSGFIN,GIC Housing Finance Limited,EQ
GICRE.NS,GICRE,General Insurance Corporation of India,EQ
GILLANDERS.NS,GILLANDERS,Gillanders Arbuthnot & Company Limited,BE
GILLETTE.NS,GILLETTE,Gillette India Limited,EQ
GINNIFILA.NS,GINNIFILA,Ginni Filaments Limited,EQ
GIPCL.NS,GIPCL,Gujarat Industries Power Company Limited,EQ
GISOLUTION.NS,GISOLUTION,GI Engineering Solutions Limited,EQ
GKWLIMITED.NS,GKWLIMITED,GKW Limited,EQ
GLAXO.NS,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ
GLENMARK.NS,GLENMARK,Glenmark Pharmaceuticals Limited,EQ
GLFL.NS,GLFL,Gujarat Lease Financing Limited,BE
GLOBALVECT.NS,GLOBALVECT,Global Vectra Helicorp Limited,EQ
GLOBOFFS.NS,GLOBOFFS,Global Offshore Services Limited,EQ
GLOBUSSPR.NS,GLOBUSSPR,Globus Spirits Limited,EQ
GMBREW.NS,GMBREW,GM Breweries Limited,EQ
GMDCLTD.NS,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ
GMMPFAUDLR.NS,GMMPFAUDLR,GMM Pfaudler Limited,EQ
GMRINFRA.NS,GMRINFRA,GMR Infrastructure Limited,EQ
GNA.NS,GNA,GNA Axles Limited,EQ
GNFC.NS,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ
GOACARBON.NS,GOACARBON,Goa Carbon Limited,BE
GOCLCORP.NS,GOCLCORP,GOCL Corporation Limited,EQ
GODFRYPHLP.NS,GODFRYPHLP,Godfrey Phillips India Limited,EQ
GODREJAGRO.NS,GODREJAGRO,Godrej Agrovet Limited,EQ
GODREJCP.NS,GODREJCP,Godrej Consumer Products Limited,EQ
GODREJIND.NS,GODREJIND,Godrej Industries Limited,EQ
GODREJPROP.NS,GODREJPROP,Godrej Properties Limited,EQ
GOENKA.NS,GOENKA,Goenka Diamond and Jewels Limited,BZ
GOKEX.NS,GOKEX,Gokaldas Exports Limited,EQ
GOKUL.NS,GOKUL,Gokul Refoils and Solvent Limited,EQ
GOKULAGRO.NS,GOKULAGRO,Gokul Agro Resources Limited,EQ
GOLDENTOBC.NS,GOLDENTOBC,Golden Tobacco Limited,EQ
GOLDIAM.NS,GOLDIAM,Goldiam International Limited,EQ
GOLDTECH.NS,GOLDTECH,Goldstone Technologies Limited,EQ
GOODLUCK.NS,GOODLUCK,Goodluck India Limited,EQ
GPIL.NS,GPIL,Godawari Power And Ispat limited,EQ
GPPL.NS,GPPL,Gujarat Pipavav Port Limited,EQ
GPTINFRA.NS,GPTINFRA,GPT Infraprojects Limited,EQ
GRANULES.NS,GRANULES,Granules India Limited,EQ
GRAPHITE.NS,GRAPHITE,Graphite India Limited,EQ
GRASIM.NS,GRASIM,Grasim Industries Limited,EQ
GRAVITA.NS,GRAVITA,Gravita India Limited,EQ
GREAVESCOT.NS,GREAVESCOT,Greaves Cotton Limited,EQ
GREENLAM.NS,GREENLAM,Greenlam Industries Limited,EQ
GREENPANEL.NS,GREENPANEL,Greenpanel Industries Limited,EQ
GREENPLY.NS,GREENPLY,Greenply Industries Limited,EQ
GREENPOWER.NS,GREENPOWER,Orient Green Power Company Limited,EQ
GRINDWELL.NS,GRINDWELL,Grindwell Norton Limited,EQ
GROBTEA.NS,GROBTEA,The Grob Tea Company Limited,EQ
GRPLTD.NS,GRPLTD,GRP Limited,EQ
GRSE.NS,GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ
GSCLCEMENT.NS,GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ
GSFC.NS,GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ
GSPL.NS,GSPL,Gujarat State Petronet Limited,EQ
GSS.NS,GSS,GSS Infotech Limited,EQ
GTL.NS,GTL,GTL Limited,BE
GTLINFRA.NS,GTLINFRA,GTL Infrastructure Limited,BE
GTNIND.NS,GTNIND,GTN Industries Limited,EQ
GTNTEX.NS,GTNTEX,GTN Textiles Limited,BE
GTPL.NS,GTPL,GTPL Hathway Limited,EQ
GUFICBIO.NS,GUFICBIO,Gufic Biosciences Limited,EQ
GUJALKALI.NS,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ
GUJAPOLLO.NS,GUJAPOLLO,Gujarat Apollo Industries Limited,EQ
GUJGASLTD.NS,GUJGASLTD,Gujarat Gas Limited,EQ
GUJRAFFIA.NS,GUJRAFFIA,Gujarat Raffia Industries Limited,BE
GULFOILLUB.NS,GULFOILLUB,Gulf Oil Lubricants India Limited,EQ
GULFPETRO.NS,GULFPETRO,GP Petroleums Limited,EQ
GULPOLY.NS,GULPOLY,Gulshan Polyols Limited,EQ
GVKPIL.NS,GVKPIL,GVK Power & Infrastructure Limited,EQ
HAL.NS,HAL,Hindustan Aeronautics Limited,EQ
HARITASEAT.NS,HARITASEAT,Harita Seating Systems Limited,EQ
HARRMALAYA.NS,HARRMALAYA,Harrisons  Malayalam Limited,EQ
HATHWAY.NS,HATHWAY,Hathway Cable & Datacom Limited,EQ
HATSUN.NS,HATSUN,Hatsun Agro Product Limited,EQ
HAVELLS.NS,HAVELLS,Havells India Limited,EQ
HAVISHA.NS,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE
HBLPOWER.NS,HBLPOWER,HBL Power Systems Limited,EQ
HBSL.NS,HBSL,HB Stockholdings Limited,EQ
HCC.NS,HCC,Hindustan Construction Company Limited,EQ
HCG.NS,HCG,Healthcare Global Enterprises Limited,EQ
HCL-INSYS.NS,HCL-INSYS,HCL Infosystems Limited,BE
HCLTECH.NS,HCLTECH,HCL Technologies Limited,EQ
HDFC.NS,HDFC,Housing Development Finance Corporation Limited,EQ
HDFCAMC.NS,HDFCAMC,HDFC Asset Management Company Limited,EQ
HDFCBANK.NS,HDFCBANK,HDFC Bank Limited,EQ
HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance Company Limited,EQ
HDIL.NS,HDIL,Housing Development and Infrastructure Limited,BZ
HEG.NS,HEG,HEG Limited,EQ
HEIDELBERG.NS,HEIDELBERG,HeidelbergCement India Limited,EQ
HERCULES.NS,HERCULES,Hercules Hoists Limited,EQ
HERITGFOOD.NS,HERITGFOOD,Heritage Foods Limited,EQ
HEROMOTOCO.NS,HEROMOTOCO,Hero MotoCorp Limited,EQ
HESTERBIO.NS,HESTERBIO,Hester Biosciences Limited,EQ
HEXATRADEX.NS,HEXATRADEX,Hexa Tradex Limited,BE
HEXAWARE.NS,HEXAWARE,Hexaware Technologies Limited,EQ
HFCL.NS,HFCL,HFCL Limited,EQ
HGINFRA.NS,HGINFRA,H.G. Infra Engineering Limited,EQ
HGS.NS,HGS,Hinduja Global Solutions Limited,EQ
HIGHGROUND.NS,HIGHGROUND,High Ground Enterprise Limited,BZ
HIKAL.NS,HIKAL,Hikal Limited,EQ
HIL.NS,HIL,HIL Limited,EQ
HILTON.NS,HILTON,Hilton Metal Forging Limited,EQ
HIMATSEIDE.NS,HIMATSEIDE,Himatsingka Seide Limited,EQ
HINDALCO.NS,HINDALCO,Hindalco Industries Limited,EQ
HINDCOMPOS.NS,HINDCOMPOS,Hindustan Composites Limited,EQ
HINDCOPPER.NS,HINDCOPPER,Hindustan Copper Limited,EQ
HINDMOTORS.NS,HINDMOTORS,Hindustan Motors Limited,EQ
HINDNATGLS.NS,HINDNATGLS,Hindusthan National Glass & Industries Limited,EQ
HINDOILEXP.NS,HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ
HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Limited,EQ
HINDZINC.NS,HINDZINC,Hindustan Zinc Limited,EQ
HIRECT.NS,HIRECT,Hind Rectifiers Limited,EQ
HISARMETAL.NS,HISARMETAL,Hisar Metal Industries Limited,EQ
HITECH.NS,HITECH,Hi-Tech Pipes Limited,EQ
HITECHCORP.NS,HITECHCORP,Hitech Corporation Limited,EQ
HITECHGEAR.NS,HITECHGEAR,The Hi-Tech Gears Limited,EQ
HLVLTD.NS,HLVLTD,HLV LIMITED,EQ
HMT.NS,HMT,HMT Limited,BZ
HMVL.NS,HMVL,Hindustan Media Ventures Limited,EQ
HNDFDS.NS,HNDFDS,Hindustan Foods Limited,EQ
HONAUT.NS,HONAUT,Honeywell Automation India Limited,EQ
HONDAPOWER.NS,HONDAPOWER,Honda Siel Power Products Limited,EQ
HOTELRUGBY.NS,HOTELRUGBY,Hotel Rugby Limited,BE
HOVS.NS,HOVS,HOV Services Limited,BE
HPL.NS,HPL,HPL Electric & Power Limited,EQ
HSCL.NS,HSCL,Himadri Speciality Chemical Limited,EQ
HSIL.NS,HSIL,HSIL Limited,EQ
HTMEDIA.NS,HTMEDIA,HT Media Limited,BE
HUBTOWN.NS,HUBTOWN,Hubtown Limited,BE
HUDCO.NS,HUDCO,Housing & Urban Development Corporation Limited,EQ
IBREALEST.NS,IBREALEST,Indiabulls Real Estate Limited,EQ
IBULHSGFIN.NS,IBULHSGFIN,Indiabulls Housing Finance Limited,EQ
IBULISL.NS,IBULISL,Indiabulls Integrated Services Limited,EQ
IBVENTURES.NS,IBVENTURES,Indiabulls Ventures Limited,EQ
ICICIBANK.NS,ICICIBANK,ICICI Bank Limited,EQ
ICICIGI.NS,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ
ICICIPRULI.NS,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ
ICIL.NS,ICIL,Indo Count Industries Limited,EQ
ICRA.NS,ICRA,ICRA Limited,EQ
IDBI.NS,IDBI,IDBI Bank Limited,EQ
IDEA.NS,IDEA,Vodafone Idea Limited,EQ
IDFC.NS,IDFC,IDFC Limited,EQ
IDFCFIRSTB.NS,IDFCFIRSTB,IDFC First Bank Limited,EQ
IEX.NS,IEX,Indian Energy Exchange Limited,EQ
IFBAGRO.NS,IFBAGRO,IFB Agro Industries Limited,EQ
IFBIND.NS,IFBIND,IFB Industries Limited,EQ
IFCI.NS,IFCI,IFCI Limited,EQ
IFGLEXPOR.NS,IFGLEXPOR,IFGL Refractories Limited,EQ
IGARASHI.NS,IGARASHI,Igarashi Motors India Limited,EQ
IGL.NS,IGL,Indraprastha Gas Limited,EQ
IGPL.NS,IGPL,IG Petrochemicals Limited,EQ
IIFL.NS,IIFL,IIFL Finance Limited,EQ
IIFLSEC.NS,IIFLSEC,IIFL Securities Limited,EQ
IIFLWAM.NS,IIFLWAM,Iifl Wealth Management Limited,EQ
IITL.NS,IITL,Industrial Investment Trust Limited,BE
IL&FSENGG.NS,IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ
IL&FSTRANS.NS,IL&FSTRANS,IL&FS Transportation Networks Limited,BZ
IMAGICAA.NS,IMAGICAA,Imagicaaworld Entertainment Limited,BE
IMFA.NS,IMFA,Indian Metals & Ferro Alloys Limited,EQ
IMPAL.NS,IMPAL,India Motor Parts and Accessories Limited,EQ
IMPEXFERRO.NS,IMPEXFERRO,Impex Ferro Tech Limited,BE
INDBANK.NS,INDBANK,Indbank Merchant Banking Services Limited,EQ
INDHOTEL.NS,INDHOTEL,The Indian Hotels Company Limited,EQ
INDIACEM.NS,INDIACEM,The India Cements Limited,EQ
INDIAGLYCO.NS,INDIAGLYCO,India Glycols Limited,EQ
INDIAMART.NS,INDIAMART,Indiamart Intermesh Limited,EQ
INDIANB.NS,INDIANB,Indian Bank,EQ
INDIANCARD.NS,INDIANCARD,Indian Card Clothing Company Limited,EQ
INDIANHUME.NS,INDIANHUME,Indian Hume Pipe Company Limited,EQ
INDIGO.NS,INDIGO,InterGlobe Aviation Limited,EQ
INDLMETER.NS,INDLMETER,IMP Powers Limited,BE
INDNIPPON.NS,INDNIPPON,India Nippon Electricals Limited,EQ
INDOCO.NS,INDOCO,Indoco Remedies Limited,EQ
INDORAMA.NS,INDORAMA,Indo Rama Synthetics (India) Limited,EQ
INDOSOLAR.NS,INDOSOLAR,Indosolar Limited,BZ
INDOSTAR.NS,INDOSTAR,IndoStar Capital Finance Limited,EQ
INDOTECH.NS,INDOTECH,Indo Tech Transformers Limited,EQ
INDOTHAI.NS,INDOTHAI,Indo Thai Securities Limited,EQ
INDOWIND.NS,INDOWIND,Indowind Energy Limited,EQ
INDRAMEDCO.NS,INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ
INDSWFTLAB.NS,INDSWFTLAB,Ind-Swift Laboratories Limited,BE
INDSWFTLTD.NS,INDSWFTLTD,Ind-Swift Limited,BE
INDTERRAIN.NS,INDTERRAIN,Indian Terrain Fashions Limited,EQ
INDUSINDBK.NS,INDUSINDBK,IndusInd Bank Limited,EQ
INEOSSTYRO.NS,INEOSSTYRO,INEOS Styrolution India Limited,EQ
INFIBEAM.NS,INFIBEAM,Infibeam Avenues Limited,EQ
INFOBEAN.NS,INFOBEAN,InfoBeans Technologies Limited,BE
INFOMEDIA.NS,INFOMEDIA,Infomedia Press Limited,BE
INFRATEL.NS,INFRATEL,Bharti Infratel Limited,EQ
INFY.NS,INFY,Infosys Limited,EQ
INGERRAND.NS,INGERRAND,Ingersoll Rand (India) Limited,EQ
INOXLEISUR.NS,INOXLEISUR,INOX Leisure Limited,EQ
INOXWIND.NS,INOXWIND,Inox Wind Limited,EQ
INSECTICID.NS,INSECTICID,Insecticides (India) Limited,EQ
INSPIRISYS.NS,INSPIRISYS,Inspirisys Solutions Limited,EQ
INTEGRA.NS,INTEGRA,Integra Garments and Textiles Limited,EQ
INTELLECT.NS,INTELLECT,Intellect Design Arena Limited,EQ
INTENTECH.NS,INTENTECH,Intense Technologies Limited,EQ
INVENTURE.NS,INVENTURE,Inventure Growth & Securities Limited,BE
IOB.NS,IOB,Indian Overseas Bank,EQ
IOC.NS,IOC,Indian Oil Corporation Limited,EQ
IOLCP.NS,IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ
IPCALAB.NS,IPCALAB,IPCA Laboratories Limited,EQ
IRB.NS,IRB,IRB Infrastructure Developers Limited,EQ
IRCON.NS,IRCON,Ircon International Limited,EQ
IRCTC.NS,IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ
ISEC.NS,ISEC,ICICI Securities Limited,EQ
ISFT.NS,ISFT,Intrasoft Technologies Limited,EQ
ISMTLTD.NS,ISMTLTD,ISMT Limited,EQ
ITC.NS,ITC,ITC Limited,EQ
ITDC.NS,ITDC,India Tourism Development Corporation Limited,EQ
ITDCEM.NS,ITDCEM,ITD Cementation India Limited,EQ
ITI.NS,ITI,ITI Limited,EQ
IVC.NS,IVC,IL&FS Investment Managers Limited,EQ
IVP.NS,IVP,IVP Limited,BE
IZMO.NS,IZMO,IZMO Limited,BE
J&KBANK.NS,J&KBANK,The Jammu & Kashmir Bank Limited,EQ
JAGRAN.NS,JAGRAN,Jagran Prakashan Limited,EQ
JAGSNPHARM.NS,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ
JAIBALAJI.NS,JAIBALAJI,Jai Balaji Industries Limited,BE
JAICORPLTD.NS,JAICORPLTD,Jai Corp Limited,EQ
JAIHINDPRO.NS,JAIHINDPRO,Jaihind Projects Limited,BZ
JAINSTUDIO.NS,JAINSTUDIO,Jain Studios Limited,BE
JAMNAAUTO.NS,JAMNAAUTO,Jamna Auto Industries Limited,EQ
JASH.NS,JASH,Jash Engineering Limited,BE
JAYAGROGN.NS,JAYAGROGN,Jayant Agro Organics Limited,BE
JAYBARMARU.NS,JAYBARMARU,Jay Bharat Maruti Limited,EQ
JAYNECOIND.NS,JAYNECOIND,Jayaswal Neco Industries Limited,BE
JAYSREETEA.NS,JAYSREETEA,Jayshree Tea & Industries Limited,BE
JBCHEPHARM.NS,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ
JBFIND.NS,JBFIND,JBF Industries Limited,BE
JBMA.NS,JBMA,JBM Auto Limited,EQ
JCHAC.NS,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ
JETAIRWAYS.NS,JETAIRWAYS,Jet Airways (India) Limited,BZ
JHS.NS,JHS,JHS Svendgaard Laboratories Limited,EQ
JIKIND.NS,JIKIND,JIK Industries Limited,BE
JINDALPHOT.NS,JINDALPHOT,Jindal Photo Limited,BE
JINDALPOLY.NS,JINDALPOLY,Jindal Poly Films Limited,EQ
JINDALSAW.NS,JINDALSAW,Jindal Saw Limited,EQ
JINDALSTEL.NS,JINDALSTEL,Jindal Steel & Power Limited,EQ
JINDRILL.NS,JINDRILL,Jindal Drilling And Industries Limited,EQ
JINDWORLD.NS,JINDWORLD,Jindal Worldwide Limited,EQ
JISLDVREQS.NS,JISLDVREQS,Jain Irrigation Systems Limited,BE
JISLJALEQS.NS,JISLJALEQS,Jain Irrigation Systems Limited,BE
JITFINFRA.NS,JITFINFRA,JITF Infralogistics Limited,BE
JIYAECO.NS,JIYAECO,Jiya Eco-Products Limited,EQ
JKCEMENT.NS,JKCEMENT,JK Cement Limited,EQ
JKIL.NS,JKIL,J.Kumar Infraprojects Limited,EQ
JKLAKSHMI.NS,JKLAKSHMI,JK Lakshmi Cement Limited,EQ
JKPAPER.NS,JKPAPER,JK Paper Limited,EQ
JKTYRE.NS,JKTYRE,JK Tyre & Industries Limited,EQ
JMA.NS,JMA,Jullundur Motor Agency (Delhi) Limited,EQ
JMCPROJECT.NS,JMCPROJECT,JMC Projects (India)  Limited,EQ
JMFINANCIL.NS,JMFINANCIL,JM Financial Limited,EQ
JMTAUTOLTD.NS,JMTAUTOLTD,JMT Auto Limited,BE
JOCIL.NS,JOCIL,Jocil Limited,EQ
JPASSOCIAT.NS,JPASSOCIAT,Jaiprakash Associates Limited,EQ
JPINFRATEC.NS,JPINFRATEC,Jaypee Infratech Limited,BE
JPOLYINVST.NS,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ
JPPOWER.NS,JPPOWER,Jaiprakash Power Ventures Limited,BE
JSL.NS,JSL,Jindal Stainless Limited,EQ
JSLHISAR.NS,JSLHISAR,Jindal Stainless (Hisar) Limited,EQ
JSWENERGY.NS,JSWENERGY,JSW Energy Limited,EQ
JSWHL.NS,JSWHL,JSW Holdings Limited,EQ
JSWSTEEL.NS,JSWSTEEL,JSW Steel Limited,EQ
JTEKTINDIA.NS,JTEKTINDIA,Jtekt India Limited,EQ
JUBILANT.NS,JUBILANT,Jubilant Life Sciences Limited,EQ
JUBLFOOD.NS,JUBLFOOD,Jubilant Foodworks Limited,EQ
JUBLINDS.NS,JUBLINDS,Jubilant Industries Limited,EQ
JUMPNET.NS,JUMPNET,Jump Networks Limited,EQ
JUSTDIAL.NS,JUSTDIAL,Just Dial Limited,EQ
JVLAGRO.NS,JVLAGRO,JVL Agro Industries Limited,BZ
JYOTHYLAB.NS,JYOTHYLAB,Jyothy Labs Limited,EQ
JYOTISTRUC.NS,JYOTISTRUC,Jyoti Structures Limited,BZ
KABRAEXTRU.NS,KABRAEXTRU,Kabra Extrusion Technik Limited,EQ
KAJARIACER.NS,KAJARIACER,Kajaria Ceramics Limited,EQ
KAKATCEM.NS,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ
KALPATPOWR.NS,KALPATPOWR,Kalpataru Power Transmission Limited,EQ
KALYANI.NS,KALYANI,Kalyani Commercials Limited,BE
KALYANIFRG.NS,KALYANIFRG,Kalyani Forge Limited,BE
KAMATHOTEL.NS,KAMATHOTEL,Kamat Hotels (I) Limited,EQ
KAMDHENU.NS,KAMDHENU,Kamdhenu Limited,EQ
KANANIIND.NS,KANANIIND,Kanani Industries Limited,BE
KANORICHEM.NS,KANORICHEM,Kanoria Chemicals & Industries Limited,EQ
KANSAINER.NS,KANSAINER,Kansai Nerolac Paints Limited,EQ
KAPSTON.NS,KAPSTON,Kapston Facilities Management Limited,EQ
KARDA.NS,KARDA,Karda Constructions Limited,EQ
KARMAENG.NS,KARMAENG,Karma Energy Limited,EQ
KARURVYSYA.NS,KARURVYSYA,Karur Vysya Bank Limited,EQ
KAUSHALYA.NS,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ
KAYA.NS,KAYA,Kaya Limited,EQ
KCP.NS,KCP,KCP Limited,EQ
KCPSUGIND.NS,KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ
KDDL.NS,KDDL,KDDL Limited,EQ
KEC.NS,KEC,KEC International Limited,EQ
KECL.NS,KECL,Kirloskar Electric Company Limited,EQ
KEI.NS,KEI,KEI Industries Limited,EQ
KELLTONTEC.NS,KELLTONTEC,Kellton Tech Solutions Limited,EQ
KENNAMET.NS,KENNAMET,Kennametal India Limited,EQ
KERNEX.NS,KERNEX,Kernex Microsystems (India) Limited,BE
KESORAMIND.NS,KESORAMIND,Kesoram Industries Limited,EQ
KEYFINSERV.NS,KEYFINSERV,Keynote Financial Services Limited,BE
KGL.NS,KGL,Karuturi Global Limited,BZ
KHADIM.NS,KHADIM,Khadim India Limited,EQ
KHANDSE.NS,KHANDSE,Khandwala Securities Limited,EQ
KICL.NS,KICL,Kalyani Investment Company Limited,EQ
KILITCH.NS,KILITCH,Kilitch Drugs (India) Limited,EQ
KINGFA.NS,KINGFA,Kingfa Science & Technology (India) Limited,EQ
KIOCL.NS,KIOCL,KIOCL Limited,EQ
KIRIINDUS.NS,KIRIINDUS,Kiri Industries Limited,EQ
KIRLFER.NS,KIRLFER,Kirloskar Ferrous Industries Ltd,EQ
KIRLOSBROS.NS,KIRLOSBROS,Kirloskar Brothers Limited,EQ
KIRLOSENG.NS,KIRLOSENG,Kirloskar Oil Engines Limited,EQ
KIRLOSIND.NS,KIRLOSIND,Kirloskar Industries Limited,EQ
KITEX.NS,KITEX,Kitex Garments Limited,EQ
KKCL.NS,KKCL,Kewal Kiran Clothing Limited,EQ
